mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1		d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1		V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1		#viio43		d	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
2	2	4	4	1.0	0	0	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	5	5	1.0	1/4	1/4	4/4	2	1		V64		d	i		V64	V		64					M	1	1	2, 1, 5		1	2
2	2	6	6	0.5	1/2	1/2	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	13/2	13/2	0.5	5/8	5/8	4/4	2	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	7	7	0.5	3/4	3/4	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	15/2	15/2	0.5	7/8	7/8	4/4	2	1		#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	8	8	0.5	0	0	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	17/2	17/2	0.5	1/8	1/8	4/4	2	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	9	9	0.5	1/4	1/4	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1		#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	10	10	0.5	1/2	1/2	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	11	11	0.5	3/4	3/4	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1		#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	12	12	0.5	0	0	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	25/2	25/2	0.5	1/8	1/8	4/4	2	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
4	4	13	13	0.5	1/4	1/4	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1		#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	14	14	0.5	1/2	1/2	4/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	29/2	29/2	0.5	5/8	5/8	4/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	15	15	0.5	3/4	3/4	4/4	2	1		V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	16	16	0.5	0	0	4/4	2	1		i|IAC}{		d	i		i	i					IAC	}{	m	1	1	0, -3, 1		0	0
5	5	33/2	33/2	0.5	1/8	1/8	4/4	2	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
5	5	17	17	1.0	1/4	1/4	4/4	2	1		iv64		d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
5	5	18	18	0.5	1/2	1/2	4/4	2	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	5	37/2	37/2	1.5	5/8	5/8	4/4	2	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
6	6	20	20	0.5	0	0	4/4	2	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
6	6	41/2	41/2	1.5	1/8	1/8	4/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	22	22	0.5	1/2	1/2	4/4	2	1		I6/III}{		d	i		I6/III	I		6		III		}{	M	1	1	1, -2, -3		-3	1
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1		IV/III		d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
6	6	23	23	0.5	3/4	3/4	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1		viio6/III		d	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
7	7	24	24	0.5	0	0	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
7	7	49/2	49/2	0.5	1/8	1/8	4/4	2	1		ii6/III		d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
7	7	25	25	0.5	1/4	1/4	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1		viio6/III		d	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
7	7	26	26	0.5	1/2	1/2	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	1		IV/III		d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
7	7	27	27	0.5	3/4	3/4	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1		viio/III		d	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
8	8	28	28	0.5	0	0	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
8	8	57/2	57/2	0.5	1/8	1/8	4/4	2	1		ii6/III		d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
8	8	29	29	0.5	1/4	1/4	4/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
8	8	59/2	59/2	0.5	3/8	3/8	4/4	2	1		viio6/III		d	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
8	8	30	30	1.5	1/2	1/2	4/4	2	1		I/III}{		d	i		I/III	I				III		}{	M	1	1	-3, 1, -2		-3	-3
