mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	12/8	2	1		a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	1.0	1/2	1/2	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	3	2.0	3/4	3/4	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	5	1.0	5/4	5/4	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	6	2.0	0	0	12/8	2	1		i}		a	i		i	i						}	m	1	1	0, -3, 1		0	0
2	2	8	1.0	1/2	1/2	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	9	2.5	3/4	3/4	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	23/2	0.5	11/8	11/8	12/8	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	12	2.0	0	0	12/8	2	1		i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	14	1.0	1/2	1/2	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	15	1.5	3/4	3/4	12/8	2	1		i(^4^2)		a	i		i(^4^2)	i			^4^2				m	1	1	0, 2, -1		0	0
3	3	33/2	0.5	9/8	9/8	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	17	1.0	5/4	5/4	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	18	1.5	0	0	12/8	2	1		i(^4^2)		a	i		i(^4^2)	i			^4^2				m	1	1	0, 2, -1		0	0
4	4	39/2	0.5	3/8	3/8	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	20	1.0	1/2	1/2	12/8	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	21	4.5	3/4	3/4	12/8	2	1		i|IAC}		a	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	5	24	0.0	0	0	12/8	2	1		{		a	i									{		1	1				
5	5	51/2	1.5	3/8	3/8	12/8	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
5	5	27	1.5	3/4	3/4	12/8	2	1		v6(2)		a	i		v6(2)	v		6	2				m	1	1	-2, 2, -4		1	-2
5	5	57/2	1.5	9/8	9/8	12/8	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
6	6	30	1.5	0	0	12/8	2	1		iv6(2)		a	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
6	6	63/2	1.5	3/8	3/8	12/8	2	1		vi6		a	i		vi6	vi		6					m	1	1	-7, -3, -4		-4	-7
6	6	33	1.5	3/4	3/4	12/8	2	1		III6(2)		a	i		III6(2)	III		6	2				M	1	1	1, -2, -1		-3	1
6	6	69/2	1.5	9/8	9/8	12/8	2	1		III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
7	7	36	1.5	0	0	12/8	2	1		bII6(2)		a	i		bII6(2)	bII		6	2				M	1	1	-1, -4, -3		-5	-1
7	7	75/2	1.5	3/8	3/8	12/8	2	1		bII6		a	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
7	7	39	1.5	3/4	3/4	12/8	2	1		i6(2)		a	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
7	7	81/2	1.5	9/8	9/8	12/8	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	42	1.5	0	0	12/8	2	1		V43}		a	i		V43	V		43				}	Mm7	1	1	2, -1, 1, 5		1	2
8	8	87/2	1.5	3/8	3/8	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
8	8	45	1.5	3/4	3/4	12/8	2	1		V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	93/2	1.5	9/8	9/8	12/8	2	1		V|HC		a	i		V	V					HC		M	1	1	1, 5, 2		1	1
9	9	48	3.0	0	0	12/8	2	1		V	V7{	a	i		V	V							M	1	1	1, 5, 2		1	1
9	9	51	3.0	3/4	3/4	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
10	10	54	3.0	0	0	12/8	2	1		V	V7	a	i		V	V							M	1	1	1, 5, 2		1	1
10	10	57	3.0	3/4	3/4	12/8	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
11	11	60	3.0	0	0	12/8	2	1		v.V7		a	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	63	3.0	3/4	3/4	12/8	2	1		i		a	v		i	i							m	1	1	0, -3, 1		0	0
12	12	66	3.0	0	0	12/8	2	1		V7		a	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
