mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	6.0	0	12/8	3/2	0						firstMeasure	2
2	2	6	6	6.0	0	12/8	3/2	0							3
3	3	12	12	6.0	0	12/8	3/2	0					line		4
4	4	18	18	6.0	0	12/8	3/2	0							5
5	5	24	24	6.0	0	12/8	3/2	0							6
6	6	30	30	6.0	0	12/8	3/2	0					line		7
7	7	36	36	6.0	0	12/8	3/2	0							8
8	8	42	42	6.0	0	12/8	3/2	0							9
9	9	48	48	6.0	0	12/8	3/2	0					line		10
10	10	54	54	6.0	0	12/8	3/2	0							11
11	11	60	60	6.0	0	12/8	3/2	0							12
12	12	66	66	6.0	0	12/8	3/2	0					page		13
13	13	72	72	6.0	0	12/8	3/2	0							14
14	14	78	78	6.0	0	12/8	3/2	0							15
15	15	84	84	6.0	0	12/8	3/2	0					line		16
16	16	90	90	6.0	0	12/8	3/2	0							17
17	17	96	96	6.0	0	12/8	3/2	0							18
18	18	102	102	6.0	0	12/8	3/2	0					line		19
19	19	108	108	6.0	0	12/8	3/2	0							20
20	20	114	114	6.0	0	12/8	3/2	0							21
21	21	120	120	6.0	0	12/8	3/2	0					line		22
22	22	126	126	6.0	0	12/8	3/2	0							23
23	23	132	132	6.0	0	12/8	3/2	0							24
24	24	138	138	6.0	0	12/8	3/2	0					line		25
25	25	144	144	6.0	0	12/8	3/2	0							26
26	26	150	150	6.0	0	12/8	3/2	0							27, 28
27	27		156	6.0	0	12/8	3/2	0	1				page	end	1
28	28	156	162	6.0	0	12/8	3/2	0	2			start-repeat		start	29
29	29	162	168	6.0	0	12/8	3/2	0							30
30	30	168	174	6.0	0	12/8	3/2	0					line		31
31	31	174	180	6.0	0	12/8	3/2	0							32
32	32	180	186	6.0	0	12/8	3/2	0							33
33	33	186	192	6.0	0	12/8	3/2	0					line		34
34	34	192	198	6.0	0	12/8	3/2	0							35
35	35	198	204	6.0	0	12/8	3/2	0							36
36	36	204	210	6.0	0	12/8	3/2	0					line		37
37	37	210	216	6.0	0	12/8	3/2	0							38
38	38	216	222	6.0	0	12/8	3/2	0							39
39	39	222	228	6.0	0	12/8	3/2	0					line		40
40	40	228	234	6.0	0	12/8	3/2	0							41
41	41	234	240	6.0	0	12/8	3/2	0							42
42	42	240	246	6.0	0	12/8	3/2	0					page		43
43	43	246	252	6.0	0	12/8	3/2	0							44
44	44	252	258	6.0	0	12/8	3/2	0							45
45	45	258	264	6.0	0	12/8	3/2	0					line		46
46	46	264	270	6.0	0	12/8	3/2	0							47
47	47	270	276	6.0	0	12/8	3/2	0							48
48	48	276	282	6.0	0	12/8	3/2	0					line		49
49	49	282	288	6.0	0	12/8	3/2	0							50
50	50	288	294	6.0	0	12/8	3/2	0							51
51	51	294	300	6.0	0	12/8	3/2	0					line		52
52	52	300	306	6.0	0	12/8	3/2	0							53
53	53	306	312	6.0	0	12/8	3/2	0							54
54	54	312	318	6.0	0	12/8	3/2	0					line		55
55	55	318	324	6.0	0	12/8	3/2	0							56
56	56	324	330	6.0	0	12/8	3/2	0							57
57	57	330	336	6.0	0	12/8	3/2	0							58
58	58	336	342	6.0	0	12/8	3/2	0						end	28, -1
